Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
"Foster Farms \\C\St. (10/09 RMP Rev.)\""\""\"""""	3	520 C Street	Turlock	CA	95380	37.491	-120.849	0	2	Public OCA Chemical; Ammonia (anhydrous)
"INITIATIVE FOODS, LLC"	2	"1117 \\K\Street\""\""\"""""	Sanger	CA	93657	36.700701	-119.551613	0	2	Public OCA Chemical; Ammonia (anhydrous)
REC Silicon	3	"3322 Road \\N\N.E.\""\""\"""""	Moses Lake	WA	98837	47.135278	-119.193333	0	3	Public OCA Chemical; Silane; Flammable Mixture
Moses Lake Plant # 80546	3	"3245 \\N\N. E.\""\""\"""""	Moses Lake	WA	98837	47.133273	-119.188444	0	2	Public OCA Chemical; Ammonia (anhydrous)
Butterfield Water Treatment Plant	3	"1306 W. \\B\Street\""\""\"""""	Pasco	WA	99301	46.220278	-119.1025	0	2	Public OCA Chemical; Chlorine
"Big \\L\Packers\""\""\"""""	2	12901 Packing House Road	Edison	CA	93307	35.348056	-118.867222	0	3	Public OCA Chemical; Ammonia (anhydrous); Chlorine
"Endicott, WA 384"	2	"215 \\E\Street\""\""\"""""	Endicott	WA	99125	46.927778	-117.686389	0	3	Public OCA Chemical; Ammonia (anhydrous); Ammonia (conc 20% or greater)
"Big \\N\Fertilizer\""\""\"""""	2	1201 SW 2nd Street	Tulia	TX	79088	34.535556	-101.778611	0	2	Public OCA Chemical; Ammonia (anhydrous)
HOBART NH3	2	"13160 \\8\ROAD\""\""\"""""	PLAINS	KS	67869	37.291111	-100.5225	0	2	Public OCA Chemical; Ammonia (anhydrous)
Trotter Grain and Fertilizer	2	"1122 \\O\St.\""\""\"""""	Loup City	NE	68853	41.27432	-98.97346	0	2	Public OCA Chemical; Ammonia (anhydrous)
Franklin	2	"1705 \\G\St.\""\""\"""""	Franklin	NE	68939	40.089158	-98.953011	0	2	Public OCA Chemical; Ammonia (anhydrous)
Fairfield Non-Stock Co-op Fertilizer Association	2	"2nd and \\D\Streets\""\""\"""""	Fairfield	NE	68938	40.428333	-98.105556	0	2	Public OCA Chemical; Ammonia (anhydrous)
Nebraska Energy L.L.C.	3	"1205 South \\O\Road\""\""\"""""	Aurora	NE	68818	40.867306	-98.038722	0	2	Public OCA Chemical; Flammable Mixture
"Rural Gas, Inc."	2	"201 \\M\Street\""\""\"""""	Belleville	KS	66935	39.840314	-97.631692	0	3	Public OCA Chemical; Ammonia (anhydrous); Propane
Farmers Cooperative - Milligan	2	"307 \\N\Street\""\""\"""""	Milligan	NE	68406	40.497889	-97.387111	0	2	Public OCA Chemical; Ammonia (anhydrous)
Peck Coop	2	"828 North \\E\Street\""\""\"""""	Peck	KS	67120	37.48	-97.373333	0	2	Public OCA Chemical; Ammonia (anhydrous)
Farmers Cooperative - Roca	2	"15505  \\A\Street\""\""\"""""	Roca	NE	68430	40.657806	-96.664389	0	2	Public OCA Chemical; Ammonia (anhydrous)
